a52dec 0.8.0-3
aalib 1.4rc5-19
abseil-cpp 20260107.1-1
accountsservice 26.13.3-1
acl 2.3.2-2
acpi 1.8-2
acpi_call-dkms 1.2.2-3
ada 3.4.4-1
adwaita-cursors 50.0-1
adwaita-fonts 50.0-1
adwaita-icon-theme 50.0-1
adwaita-icon-theme-legacy 46.2-3
alsa-card-profiles 1:1.6.6-1
alsa-lib 1.2.15.3-2
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.15.3-2
aom 3.14.1-1
appstream 1.1.2-1
appstream-glib 0.8.3-4
aquamarine 0.12.0-1
arch-install-scripts 31-1
archiso 88-1
archlinux-keyring 20260420-1
argon2 20190702-6
at-spi2-core 2.60.4-1
atkmm 2.28.5-1
attica 6.26.0-1
attr 2.5.2-2
audit 4.1.4-2
autoconf 2.73-1
automake 1.18.1-1
avahi 1:0.9rc4-1
awww 0.12.1-1
baloo 6.26.0-1
baloo-widgets 26.04.1-1
base 3-3
base-devel 1-2
bash 5.3.9-1
bbswitch 0.8-823
binutils 2.46+r70+g155188ea10a7-1
bison 3.8.2-8
blas 3.12.1-2
blueman 2.4.6-2
bluez 5.86-6
bluez-libs 5.86-6
bluez-utils 5.86-6
boost 1.91.0-1
boost-libs 1.91.0-1
botan 3.12.0-1
breeze 6.6.5-1
breeze-cursors 6.6.5-1
breeze-gtk 6.6.5-1
breeze-icons 6.26.0-1
brightnessctl 0.5.1-3
brotli 1.2.0-1
btop 1.4.7-1
btrfs-progs 7.0-1
bubblewrap 0.11.2-1
bzip2 1.0.8-6
c-ares 1.34.6-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.124-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm 1.14.5-3
cairomm-1.16 1.18.0-2
cbindgen 0.29.3-1
cblas 3.12.1-2
cdparanoia 10.2-9
cheese 44.1-7
cheese-debug 44.1-7
chromaprint 1.6.0-3
chromium 148.0.7778.215-1
cifs-utils 7.5-1
clang 22.1.6-1
cliphist 1:0.7.0-2
clucene 2.3.3.4-17
clutter 1.26.4-4
clutter-debug 1.26.4-4
clutter-gst 3.0.27-5
clutter-gst-debug 3.0.27-5
clutter-gtk 1.8.4-5
clutter-gtk-debug 1.8.4-5
cmake 4.3.3-1
cogl 1.22.8-5
cogl-debug 1.22.8-5
colm 0.14.7-5
compiler-rt 22.1.6-1
composefs 1.0.8-1
containerd 2.3.1-1
convertlit 1.8-13
coreutils 9.11-1
cosmic-comp 1:1.0.14-1
cosmic-greeter 1:1.0.14-1
cosmic-icon-theme 1:1.0.14-1
cpio 2.15-3
cppdap 1.58.0-3
cronie 1.7.2-2
cryptsetup 2.8.6-1
ctags 1:6.2.1-1
cups 2:2.4.19-1
cups-filters 2.0.1-2
cups-pk-helper 0.2.7-2
curl 8.20.0-7
dav1d 1.5.3-1
db5.3 5.3.28-7
dbus 1.16.2-1
dbus-broker 37-3
dbus-broker-units 37-3
dbus-glib 0.114-1
dbus-units 37-3
dconf 0.49.0-1
debugedit 5.3-1
default-cursors 3-1
deno 2.8.1-1
desktop-file-utils 0.28-1
device-mapper 2.03.41-1
dialog 1:1.3_20260107-1
diffutils 3.12-2
djvulibre 3.5.30-1
dkms 3.4.1-1
docbook-xml 4.5-11
docbook-xsl 1.79.2-9
docker 1:29.5.2-1
docker-compose 5.1.4-1
dolphin 26.04.1-1
dosfstools 4.2-5
double-conversion 3.4.0-1
downgrade 12.0.1-1
duktape 2.7.0-7
dunst 1.13.2-1
e2fsprogs 1.47.4-1
ebook-tools 0.2.2-9
efibootmgr 18-4
efivar 39-2
egl-gbm 1.1.3-1
egl-wayland 4:1.1.21-1
egl-wayland2 1.0.1-1
egl-x11 1.0.5-1
eglexternalplatform 1.2.1-1
electron39 39.8.10-1
elfutils 0.195-1
ell 0.83-1
enchant 2.8.15-2
erofs-utils 1.9.1-1
ethtool 1:7.0-1
evince 1:48.4-1
exempi 2.6.6-3
exiv2 0.28.8-2
exo 4.20.0-2
expat 2.8.1-1
extra-cmake-modules 6.26.0-1
eza 0.23.4-3
faac 1.50-1
faad2 2.11.2-1
fakeroot 1.38.1-1
fastfetch 2.63.1-1
fd 10.4.2-2
ffmpeg 2:8.1.1-2
ffmpegthumbnailer 2.3.0-1
fftw 3.3.11-1
file 5.47-3
file-roller 44.6-2
filesystem 2025.10.12-1
findutils 4.10.0-3
firefox 151.0.3-1
firefox-dark-reader 4.9.124-1
flac 1.5.0-1
flatpak 1:1.16.6-1
flex 2.6.4-6
fluidsynth 2.5.4-1
fmt 12.1.0-2
fontconfig 2:2.18.1-1
frameworkintegration 6.26.0-1
freeglut 3.8.0-1
freetype2 2.14.3-1
